player_name,City,State,team_abbreviation.x,FG.,FT.,FT.ATTEMPTS,X3.PTs,Points,Rebounds,Assists,Steals,Blocks,Turnovers,age,player_height,player_weight,college,country,draft_year,years_in_nba,draft_round,draft_number
Shai Gilgeous-Alexander,NA,NA,OKC,0.534,0.936,7.4,1.3,30.4,6.1,6.3,2.4,0.9,2.3,24,198.12,88.45044,Kentucky,Canada,2018,5,1,11
Joel Embiid,NA,NA,PHI,0.498,0.877,11.8,1.1,32,11.3,6.6,1,1.9,3.7,29,213.36,127.00576,Kansas,Cameroon,2014,9,1,3
Nikola Jokic,NA,NA,DEN,0.568,0.793,6,1.4,28.8,13.4,8.9,1.1,0.8,3.2,28,210.82,128.820128,None,Serbia,2014,9,2,41
Tyrese Haliburton,Oshkosh,Wisconsin,IND,0.518,0.915,4.7,3.8,25.9,3.7,11.9,0.9,0.7,2.5,23,195.58,83.91452,Iowa State,USA,2020,3,1,12
Kevin Durant,Washington,DC,PHO,0.533,0.891,8.5,2.3,31.4,7.1,5.5,0.7,1.2,4,34,208.28,108.86208,Texas,USA,2007,16,1,2
Anthony Davis,Chicago,Illinois,LAL,0.546,0.849,5.8,0.2,21.8,12.1,3.4,1.1,2.8,2.4,30,208.28,114.758776,Kentucky,USA,2012,11,1,1
Devin Booker,Grand Rapids,Michigan,PHO,0.497,0.917,8.1,2.2,29.4,5.4,8.9,0.8,0.6,3.1,26,195.58,93.439952,Kentucky,USA,2015,8,1,13
Stephen Curry,Akron,Ohio,GS,0.484,0.938,6.4,5.3,29.7,4.6,3.9,0.8,0.1,3.7,35,187.96,83.91452,Davidson,USA,2009,14,1,7
Chet Holmgren,Minneapolis,Minnesota,OKC,0.564,0.881,4.2,1.8,18.1,8,2.5,0.9,2.3,2.1,21,216,88.5,Gonzaga,USA,2022,1,1,2
Luka Doncic,NA,NA,DAL,0.487,0.765,7.4,3.8,30.5,7.9,7.8,1.3,0.4,3.9,24,200.66,104.32616,None,Slovenia,2018,5,1,3
Donovan Mitchell,Elmsford,New York,CLE,0.45,0.883,5.8,3.1,27,4.9,5.3,1.8,0.5,2.3,26,185.42,97.52228,Louisville,USA,2017,6,1,13
Tyrese Maxey,Dallas,Texas,PHI,0.46,0.894,5.6,3.3,26.6,4.8,6.9,0.8,0.7,1.4,22,187.96,90.7184,Kentucky,USA,2020,3,1,21
LeBron James,Akron,Ohio,LAL,0.563,0.687,5.8,2.2,25.1,7.5,6.5,1.5,0.8,3.6,38,205.74,113.398,None,USA,2003,20,1,1
Jayson Tatum,St. Louis,Missouri,BOS,0.494,0.802,6.5,3.2,28.1,8.9,4.1,1.2,0.4,3.2,25,203.2,95.25432,Duke,USA,2017,6,1,3
Paul George,Palmdale,California,LAC,0.452,0.934,4.9,3.1,24.2,6.3,3.6,1.9,0.2,2.7,33,203.2,99.79024,Fresno State,USA,2010,13,1,10
Trae Young,Lubbock,Texas,ATL,0.402,0.877,9.2,3.1,26.5,3,10.4,1.6,0,3.9,24,185.42,74.389088,Oklahoma,USA,2018,5,1,5
Bam Adebayo,Newark,New Jersey,MIA,0.532,0.825,7.4,0.1,22.7,10.4,3.9,1.4,1,2.6,25,205.74,115.66596,Kentucky,USA,2017,6,1,14
LaMelo Ball,Chino Hills,California,CHA,0.443,0.857,4.2,3.5,24.7,5.5,8.2,1.4,0.3,3.9,21,200.66,81.64656,None,USA,2020,3,1,3
Anthony Edwards,Atlanta,Georgia,MIN,0.466,0.876,6.1,2.5,26.6,5.9,5.3,1.4,0.4,3.3,21,193.04,102.0582,Georgia,USA,2020,3,1,1
Scottie Barnes,West Palm Beach,Florida,TOR,0.466,0.754,3.8,1.9,19,9.1,5.6,1.6,1.3,2.5,21,203.2,102.0582,Florida State,USA,2021,2,1,4
Victor Wembanyama,NA,NA,SA,0.43,0.825,4.4,1.5,19.2,9.5,2.6,1.3,2.6,3.6,19,223,95,None,France,2023,0,1,1
