"player_name","team_abbreviation.x","FG.","FT.","FT.ATTEMPTS","X3.PTs","Points.x","Rebounds.x","Assists.x","Steals.x","Blocks.x","Turnovers.x","team_abbreviation.y","age","player_height","player_weight","college","country","draft_year","years_in_nba","draft_round","draft_number","City","State","Team","Points.y","Rebounds.y","Assists.y","Steals.y","Blocks.y","Turnovers.y"
"Shai Gilgeous-Alexander","OKC",0.534,0.936,7.4,1.3,30.4,6.1,6.3,2.4,0.9,2.3,"OKC",24,198.12,88.45044,"Kentucky","Canada","2018",5,"1","11",NA,NA,"OKC",29.6,5,5.6,1.5,0.9,2.9
"Joel Embiid","PHI",0.498,0.877,11.8,1.1,32,11.3,6.6,1,1.9,3.7,"PHI",29,213.36,127.00576,"Kansas","Cameroon","2014",9,"1","3",NA,NA,"PHI",32.6,10.2,4.2,1.1,1.6,3.3
"Nikola Jokic","DEN",0.568,0.793,6,1.4,28.8,13.4,8.9,1.1,0.8,3.2,"DEN",28,210.82,128.820128,"None","Serbia","2014",9,"2","41",NA,NA,"DEN",24.5,11.7,9.7,1.4,0.7,3.7
"Tyrese Haliburton","IND",0.518,0.915,4.7,3.8,25.9,3.7,11.9,0.9,0.7,2.5,"IND",23,195.58,83.91452,"Iowa State","USA","2020",3,"1","12",NA,NA,"IND",23.3,4,10.5,1.7,0.4,2.6
"Kevin Durant","PHO",0.533,0.891,8.5,2.3,31.4,7.1,5.5,0.7,1.2,4,"PHX",34,208.28,108.86208,"Texas","USA","2007",16,"1","2","Washington","DC","PHO",25.3,6.5,5,0.7,1,3.1
"Anthony Davis","LAL",0.546,0.849,5.8,0.2,21.8,12.1,3.4,1.1,2.8,2.4,"LAL",30,208.28,114.758776,"Kentucky","USA","2012",11,"1","1","Chicago","Illinois","LAL",24.3,11.2,2.8,1.1,2.1,2.1
"Devin Booker","PHO",0.497,0.917,8.1,2.2,29.4,5.4,8.9,0.8,0.6,3.1,"PHX",26,195.58,93.439952,"Kentucky","USA","2015",8,"1","13","Grand Rapids","Michigan","PHO",27.2,4.9,6.3,1.1,0.4,2.6
"Stephen Curry","GS",0.484,0.938,6.4,5.3,29.7,4.6,3.9,0.8,0.1,3.7,"GSW",35,187.96,83.91452,"Davidson","USA","2009",14,"1","7","Akron","Ohio","GS",28,5.6,5.6,0.9,0.3,3.3
"Chet Holmgren","OKC",0.564,0.881,4.2,1.8,18.1,8,2.5,0.9,2.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OKC",14.3,9.2,1.6,0.5,2,1.2
"Luka Doncic","DAL",0.487,0.765,7.4,3.8,30.5,7.9,7.8,1.3,0.4,3.9,"DAL",24,200.66,104.32616,"None","Slovenia","2018",5,"1","3",NA,NA,"DAL",32.7,8.8,8.1,1.3,0.5,3.6
"Donovan Mitchell","CLE",0.45,0.883,5.8,3.1,27,4.9,5.3,1.8,0.5,2.3,"CLE",26,185.42,97.52228,"Louisville","USA","2017",6,"1","13",NA,NA,"CLE",27.7,4.4,4.4,1.5,0.3,2.7
"Tyrese Maxey","PHI",0.46,0.894,5.6,3.3,26.6,4.8,6.9,0.8,0.7,1.4,"PHI",22,187.96,90.7184,"Kentucky","USA","2020",3,"1","21",NA,NA,"PHI",21.5,3.3,4.4,0.8,0.3,1.3
"LeBron James","LAL",0.563,0.687,5.8,2.2,25.1,7.5,6.5,1.5,0.8,3.6,"LAL",38,205.74,113.398,"None","USA","2003",20,"1","1","Akron","Ohio","LAL",26.7,7.6,6,0.8,0.5,3.1
"Jayson Tatum","BOS",0.494,0.802,6.5,3.2,28.1,8.9,4.1,1.2,0.4,3.2,"BOS",25,203.2,95.25432,"Duke","USA","2017",6,"1","3",NA,NA,"BOS",29.5,8.2,4.8,1.1,0.7,3
"Paul George","LAC",0.452,0.934,4.9,3.1,24.2,6.3,3.6,1.9,0.2,2.7,"LAC",33,203.2,99.79024,"Fresno State","USA","2010",13,"1","10","Palmdale","California","LAC",23,6.1,5,1.5,0.4,3.3
"Trae Young","ATL",0.402,0.877,9.2,3.1,26.5,3,10.4,1.6,0,3.9,"ATL",24,185.42,74.389088,"Oklahoma","USA","2018",5,"1","5",NA,NA,"ATL",27.1,3.4,10,1.1,0.1,4.1
"Bam Adebayo","MIA",0.532,0.825,7.4,0.1,22.7,10.4,3.9,1.4,1,2.6,"MIA",25,205.74,115.66596,"Kentucky","USA","2017",6,"1","14",NA,NA,"MIA",20.2,9.8,3.5,1.3,0.8,2.6
"LaMelo Ball","CHA",0.443,0.857,4.2,3.5,24.7,5.5,8.2,1.4,0.3,3.9,"CHA",21,200.66,81.64656,"None","USA","2020",3,"1","3",NA,NA,"CHA",23.4,7,8.6,1.6,0.4,3.6
"Anthony Edwards","MIN",0.466,0.876,6.1,2.5,26.6,5.9,5.3,1.4,0.4,3.3,"MIN",21,193.04,102.0582,"Georgia","USA","2020",3,"1","1",NA,NA,"MIN",25.8,5.7,4.8,1.6,0.7,3.2
"Scottie Barnes","TOR",0.466,0.754,3.8,1.9,19,9.1,5.6,1.6,1.3,2.5,"TOR",21,203.2,102.0582,"Florida State","USA","2021",2,"1","4",NA,NA,"TOR",16.5,6.1,5,0.7,1.1,2.1
"Victor Wembanyama","SA",0.43,0.825,4.4,1.5,19.2,9.5,2.6,1.3,2.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",17.9,8.2,2,0.7,2.3,1.8
"Damian Lillard","MIL",0.411,0.922,9.3,2.9,25.6,4.5,6.3,1.1,0.1,2.5,"POR",32,187.96,88.45044,"Weber State","USA","2012",11,"1","6","Oakland","California","MIL",27.2,4,6.9,0.9,0.3,3.1
"Lauri Markkanen","UTA",0.484,0.84,5,3.3,23.7,8.7,1.1,1.1,0.9,1.3,"UTA",26,213.36,108.86208,"Arizona","Finland","2017",6,"1","7",NA,NA,"UTA",23.9,8,1.9,0.7,0.6,1.9
"Karl-Anthony Towns","MIN",0.506,0.908,4.1,2,21.8,8.9,2.9,1,0.8,2.7,"MIN",27,213.36,112.490816,"Kentucky","USA","2015",8,"1","1","Edison","New Jersey","MIN",21.4,8.5,4.6,0.7,0.7,2.8
"De'Aaron Fox","SAC",0.48,0.757,7,3.2,29.9,4.3,6,1.6,0.3,1.9,"SAC",25,190.5,83.91452,"Kentucky","USA","2017",6,"1","5",NA,NA,"SAC",25.1,4.2,6.1,1.2,0.4,2.7
"Kyrie Irving","DAL",0.478,0.89,3.5,2.9,24.4,4.2,5.5,1.2,0.3,1.6,"DAL",31,187.96,88.45044,"Duke","Australia","2011",12,"1","1",NA,NA,"DAL",26.7,4.8,5.5,1.2,0.7,2.2
"Brook Lopez","MIL",0.506,0.825,1.7,1.8,13.3,5.1,1.1,0.9,2.9,0.8,"MIL",35,215.9,127.912944,"Stanford","USA","2008",15,"1","10","North Hollywood","California","MIL",13.5,5.9,1,0.4,2,1.2
"Domantas Sabonis","SAC",0.62,0.634,6.2,0.5,19.9,12.3,7,0.9,1,3.4,"SAC",27,215.9,108.86208,"Gonzaga","Lithuania","2016",7,"1","11","Portland","Oregon","SAC",19.5,12.4,7.3,0.9,0.5,3
"Miles Bridges","CHA",0.507,0.821,5.6,1.8,21.2,8.8,2.8,1.4,0.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHA",9.9,3.8,1.7,0.5,0.5,1
"Kristaps Porzingis","BOS",0.547,0.801,5.3,1.6,18.9,6.7,1.9,0.7,1.7,1.3,"WAS",27,220.98,108.86208,"None","Latvia","2015",8,"1","4",NA,NA,"BOS",18.7,7.9,2.1,0.8,1.5,1.8
"Desmond Bane","MEM",0.442,0.871,3.9,3.3,23.6,4.4,5,1.3,0.6,2.7,"MEM",25,195.58,97.52228,"TCU","USA","2020",3,"1","30",NA,NA,"MEM",22.6,5.4,4,1.2,0.4,2.2
"Nicolas Claxton","BKN",0.667,0.624,2.3,0,12.3,8.3,1.7,0.7,2.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BKN",12,9.1,1.8,0.8,2.4,1.3
"Myles Turner","IND",0.513,0.79,4.2,1.5,16.8,7.6,1.4,0.7,2.2,1.6,"IND",27,210.82,113.398,"Texas","USA","2015",8,"1","11","Bedford","Texas","IND",16.1,7.4,1.3,0.6,2.3,1.5
"Kawhi Leonard","LAC",0.452,0.847,4.1,2.2,21.1,5.6,3.4,1.7,0.7,1.6,"LAC",32,200.66,102.0582,"San Diego State","USA","2011",12,"1","15","Los Angeles","California","LAC",23.2,6.2,3.7,1.3,0.5,1.7
"Evan Mobley","CLE",0.558,0.768,3.5,0.1,16.3,10.4,3.2,0.8,1.6,2.2,"CLE",22,210.82,97.52228,"Southern California","USA","2021",2,"1","3",NA,NA,"CLE",17.2,9.3,2.9,0.9,1.7,1.9
"Giannis Antetokounmpo","MIL",0.592,0.632,10.4,0.4,29.9,10.7,4.6,1.2,1.2,4.1,"MIL",28,213.36,110.222856,"None","Greece","2013",10,"1","15",NA,NA,"MIL",28.3,11.6,5.7,1.1,1,3.4
"CJ McCollum","NO",0.44,0.741,5.2,3.2,21.7,4.8,5.7,1.5,0.8,1.3,"NOP",31,190.5,86.18248,"Lehigh","USA","2013",10,"1","10",NA,NA,"NO",19.9,4.3,5.2,0.4,1,2.1
"Jimmy Butler","MIA",0.462,0.877,7.6,1.2,20.7,5,4,1.3,0.6,1.7,"MIA",33,200.66,104.32616,"Marquette","USA","2011",12,"1","30","Houston","Texas","MIA",21.3,5.7,5,1.6,0.4,1.8
