Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,NYM,@,WSN,W,5,1,,1-0,1,up 0.5,Megill,Corbin,,3:31,N,35052,1.02,+,
2,Friday Apr 8,boxscore,NYM,@,WSN,W,7,3,,2-0,1,up 0.5,Scherzer,Gray,,3:43,N,25677,1.01,++,
3,Saturday Apr 9,boxscore,NYM,@,WSN,W,5,0,,3-0,1,up 0.5,Bassitt,Adon,,3:14,N,21369,1.12,+++,
4,Sunday Apr 10,boxscore,NYM,@,WSN,L,2,4,,3-1,1,up 0.5,Finnegan,Williams,Rainey,3:01,D,23158,1.06,-,
5,Monday Apr 11,boxscore,NYM,@,PHI,L,4,5,,3-2,2,0.5,Domínguez,Lugo,Hand,3:05,N,22317,1.13,--,
6,Tuesday Apr 12,boxscore,NYM,@,PHI,W,2,0,,4-2,1,up 0.5,Megill,Wheeler,Díaz,3:12,N,26045,1.07,+,
7,Wednesday Apr 13,boxscore,NYM,@,PHI,W,9,6,,5-2,1,up 1.5,Scherzer,Nola,,4:04,D,31190,1.13,++,
8,Friday Apr 15,boxscore,NYM,,ARI,W,10,3,,6-2,1,up 2.5,Bassitt,Davies,,3:24,D,43820,1.09,+++,
9,Saturday Apr 16,boxscore,NYM,,ARI,L,2,3,,6-3,1,up 1.5,Poppen,Rodríguez,Melancon,3:12,D,37935,1.14,-,
10,Sunday Apr 17,boxscore,NYM,,ARI,W,5,0,,7-3,1,up 2.5,Shreve,Ramirez,,2:59,D,24515,1.09,+,
11,Tuesday Apr 19 (1),boxscore,NYM,,SFG,W-wo,5,4,10,8-3,1,up 3.5,Ottavino,García,,3:33,D,,1.12,++,
12,Tuesday Apr 19 (2),boxscore,NYM,,SFG,W,3,1,,9-3,1,up 3.5,Scherzer,Webb,May,2:41,D,27490,1.16,+++,
13,Wednesday Apr 20,boxscore,NYM,,SFG,L,2,5,,9-4,1,up 3.5,Rodón,Bassitt,McGee,3:20,N,30050,1.15,-,
14,Thursday Apr 21,boxscore,NYM,,SFG,W,6,2,,10-4,1,up 4.0,Carrasco,DeSclafani,,2:35,D,28760,1.19,+,
15,Friday Apr 22,boxscore,NYM,@,ARI,W,6,5,10,11-4,1,up 4.0,Díaz,Melancon,Lugo,3:29,N,20939,1.17,++,
16,Saturday Apr 23,boxscore,NYM,@,ARI,L,2,5,,11-5,1,up 4.0,Castellanos,Williams,Mantiply,3:19,N,25413,1.17,-,
17,Sunday Apr 24,boxscore,NYM,@,ARI,W,6,2,,12-5,1,up 4.0,Megill,Wendelken,,2:56,D,23570,1.18,+,
18,Monday Apr 25,boxscore,NYM,@,STL,W,5,2,,13-5,1,up 4.5,May,Gallegos,Díaz,3:00,N,35455,1.21,++,
19,Tuesday Apr 26,boxscore,NYM,@,STL,W,3,0,,14-5,1,up 4.5,Bassitt,Hicks,Díaz,3:32,N,32215,1.26,+++,
20,Wednesday Apr 27,boxscore,NYM,@,STL,L,5,10,,14-6,1,up 3.5,Woodford,Carrasco,,3:29,D,34822,1.22,-,
21,Friday Apr 29,boxscore,NYM,,PHI,W,3,0,,15-6,1,up 3.0,Megill,Nola,Díaz,3:18,N,32416,1.29,+,
22,Saturday Apr 30,boxscore,NYM,,PHI,L,1,4,,15-7,1,up 2.0,Norwood,Ottavino,Knebel,3:48,N,40036,1.25,-,
23,Sunday May 1,boxscore,NYM,,PHI,W,10,6,,16-7,1,up 3.0,Scherzer,Eflin,,3:20,N,30608,1.31,+,
24,Monday May 2,boxscore,NYM,,ATL,L,2,5,,16-8,1,up 3.0,Fried,Bassitt,Jansen,3:18,N,23413,1.28,-,
25,Tuesday May 3 (1),boxscore,NYM,,ATL,W,5,4,,17-8,1,up 4.5,Peterson,Morton,Díaz,2:49,D,,1.32,+,
26,Tuesday May 3 (2),boxscore,NYM,,ATL,W,3,0,,18-8,1,up 4.5,Carrasco,Wright,Lugo,2:18,D,27206,1.28,++,
27,Wednesday May 4,boxscore,NYM,,ATL,L,2,9,,18-9,1,up 4.5,Anderson,Megill,,3:28,D,23973,1.28,-,
28,Thursday May 5,boxscore,NYM,@,PHI,W,8,7,,19-9,1,up 5.5,Medina,Knebel,Díaz,3:15,N,24040,1.28,+,
29,Sunday May 8 (1),boxscore,NYM,@,PHI,L,2,3,,19-10,1,up 6.0,Gibson,Scherzer,Knebel,2:58,D,,1.28,-,
30,Sunday May 8 (2),boxscore,NYM,@,PHI,W,6,1,,20-10,1,up 6.0,Bassitt,Sánchez,,3:15,D,37133,1.29,+,
31,Tuesday May 10,boxscore,NYM,@,WSN,W,4,2,,21-10,1,up 7.0,Carrasco,Edwards,Díaz,3:08,N,21955,1.26,++,
32,Wednesday May 11,boxscore,NYM,@,WSN,L,3,8,,21-11,1,up 6.0,Sanchez,Megill,,3:05,N,19715,1.21,-,
33,Thursday May 12,boxscore,NYM,@,WSN,W,4,1,,22-11,1,up 6.5,Walker,Adon,,2:45,D,21213,1.24,+,
34,Friday May 13,boxscore,NYM,,SEA,L,1,2,,22-12,1,up 5.5,Sewald,Smith,Steckenrider,2:56,N,36629,1.21,-,
35,Saturday May 14,boxscore,NYM,,SEA,W,5,4,,23-12,1,up 5.5,Ottavino,Muñoz,Díaz,3:30,N,37140,1.19,+,
